1308 東証ETF 上場インデックスファンドTOPIX（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2009-01-05","890","894","876","878","443000","878"
"2009-01-06","882","887","875","880","528000","880"
"2009-01-07","883","899","883","890","536000","890"
"2009-01-08","870","874","861","863","276000","863"
"2009-01-09","863","865","852","855","267000","855"
"2009-01-13","825","825","815","815","1015000","815"
"2009-01-14","814","831","814","822","541000","822"
"2009-01-15","792","807","792","797","551000","797"
"2009-01-16","810","823","805","821","327000","821"
"2009-01-19","827","830","818","818","257000","818"
"2009-01-20","815","815","797","806","639000","806"
"2009-01-21","790","799","787","788","802000","788"
"2009-01-22","798","800","785","800","567000","800"
"2009-01-23","791","791","775","776","914000","776"
"2009-01-26","769","780","767","770","558000","770"
"2009-01-27","782","810","782","804","1072000","804"
"2009-01-28","806","813","794","806","975000","806"
"2009-01-29","819","825","810","817","452000","817"
"2009-01-30","801","802","789","797","1343000","797"
"2009-02-02","783","787","773","779","763000","779"
"2009-02-03","777","798","773","776","452000","776"
"2009-02-04","783","798","777","796","522000","796"
"2009-02-05","791","801","786","787","313000","787"
"2009-02-06","802","806","790","793","618000","793"
"2009-02-09","806","806","779","779","430000","779"
"2009-02-10","787","796","777","781","444000","781"
"2009-02-12","770","771","759","760","1416000","760"
"2009-02-13","768","774","760","767","550000","767"
"2009-02-16","765","775","763","772","358000","772"
"2009-02-17","765","767","755","757","638000","757"
"2009-02-18","750","753","744","752","697000","752"
"2009-02-19","756","759","752","753","160000","753"
"2009-02-20","755","755","737","742","693000","742"
"2009-02-23","730","739","723","738","1099000","738"
"2009-02-24","723","733","720","733","1701000","733"
"2009-02-25","747","750","736","748","654000","748"
"2009-02-26","750","757","742","743","551000","743"
"2009-02-27","745","758","743","756","865000","756"
"2009-03-02","736","745","733","736","798000","736"
"2009-03-03","720","734","717","729","1327000","729"
"2009-03-04","719","736","716","735","977000","735"
"2009-03-05","741","754","739","745","513000","745"
"2009-03-06","728","731","723","726","487000","726"
"2009-03-09","722","725","708","714","1217000","714"
"2009-03-10","704","711","704","706","763000","706"
"2009-03-11","726","731","723","723","451000","723"
"2009-03-12","724","724","701","703","1016000","703"
"2009-03-13","721","727","716","723","1157000","723"
"2009-03-16","733","749","733","746","1090000","746"
"2009-03-17","751","766","745","761","922000","761"
